Area;Regione;Provincia;2024_CodCom;Comune;Cap;TAGLIA MERCATO
Sud;Puglia;BR;I119;SAN PIETRO VERNOTICO;NonCap;S
Sud;Puglia;FG;I158;SAN SEVERO;NonCap;M
Sud;Puglia;LE;I172;SANTA CESAREA TERME;NonCap;S
Sud;Puglia;FG;I193;SANT`AGATA DI PUGLIA;NonCap;S
Sud;Puglia;BA;I330;SANTERAMO IN COLLE;NonCap;M
Sud;Puglia;BR;I396;SAN VITO DEI NORMANNI;NonCap;S
Sud;Puglia;TA;I467;SAVA;NonCap;S
Sud;Puglia;LE;I549;SCORRANO;NonCap;S
Sud;Puglia;LE;I559;SECLI';NonCap;S
Sud;Puglia;FG;I641;SERRACAPRIOLA;NonCap;S
Sud;Puglia;LE;I780;SOGLIANO CAVOUR;NonCap;S
Sud;Puglia;LE;I800;SOLETO;NonCap;S
Sud;Puglia;LE;I887;SPECCHIA;NonCap;S
Sud;Puglia;BA;I907;SPINAZZOLA;NonCap;S
Sud;Puglia;LE;I923;SPONGANO;NonCap;S
Sud;Puglia;LE;I930;SQUINZANO;NonCap;S
Sud;Puglia;LE;I950;STERNATIA;NonCap;S
Sud;Puglia;FG;I962;STORNARA;NonCap;S
Sud;Puglia;FG;I963;STORNARELLA;NonCap;S
Sud;Puglia;LE;L008;SUPERSANO;NonCap;S
Sud;Puglia;LE;L010;SURANO;NonCap;S
Sud;Puglia;LE;L011;SURBO;NonCap;S
Sud;Puglia;TA;L049;TARANTO;cap;L
Sud;Puglia;LE;L064;TAURISANO;NonCap;S
Sud;Puglia;LE;L074;TAVIANO;NonCap;S
Sud;Puglia;BA;L109;TERLIZZI;NonCap;M
Sud;Puglia;LE;L166;TIGGIANO;NonCap;S
Sud;Puglia;BR;L213;TORCHIAROLO;NonCap;S
Sud;Puglia;BA;L220;TORITTO;NonCap;S
Sud;Puglia;FG;L273;TORREMAGGIORE;NonCap;S
Sud;Puglia;BR;L280;TORRE SANTA SUSANNA;NonCap;S
Sud;Puglia;TA;L294;TORRICELLA;NonCap;S
Sud;Puglia;BA;L328;TRANI;NonCap;L
Sud;Puglia;LE;L383;TREPUZZI;NonCap;S
Sud;Puglia;LE;L419;TRICASE;NonCap;S
Sud;Puglia;BA;L425;TRIGGIANO;NonCap;M
Sud;Puglia;FG;L447;TROIA;NonCap;S
Sud;Puglia;LE;L462;TUGLIE;NonCap;S
Sud;Puglia;BA;L472;TURI;NonCap;S
Sud;Puglia;LE;L484;UGENTO;NonCap;S
Sud;Puglia;LE;L485;UGGIANO LA CHIESA;NonCap;S
Sud;Puglia;BA;L571;VALENZANO;NonCap;M
Sud;Puglia;LE;L711;VEGLIE;NonCap;S
Sud;Puglia;LE;L776;VERNOLE;NonCap;S
Sud;Puglia;FG;L842;VICO DEL GARGANO;NonCap;S
Sud;Puglia;FG;L858;VIESTE;NonCap;M
Sud;Puglia;BR;L920;VILLA CASTELLI;NonCap;S
Sud;Puglia;FG;M131;VOLTURARA APPULA;NonCap;S
Sud;Puglia;FG;M132;VOLTURINO;NonCap;S
Sud;Puglia;LE;M187;ZOLLINO;NonCap;S
Sud;Puglia;LE;M261;CASTRO;NonCap;S
Sud;Puglia;LE;M263;PORTO CESAREO;NonCap;S
Sud;Puglia;LE;M264;SAN CASSIANO;NonCap;S
Sud;Puglia;FG;M266;ORDONA;NonCap;S
Sud;Puglia;TA;M298;STATTE;NonCap;S
Sud;Puglia;LE;M428;PRESICCE-ACQUARICA;NonCap;S
